STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Total Crimes,Males,Females,Persons
CHHATTISGARH,TOTAL,2005,990,184,100,1450,132,732,0,3588,11174000,11076000,22250000
GOA,TOTAL,2005,20,12,2,30,8,11,0,83,752000,697000,1449000
GUJARAT,TOTAL,2005,324,916,48,802,104,4090,0,6284,28296000,25844000,54140000
HARYANA,TOTAL,2005,461,344,212,380,597,2075,0,4069,12329000,10555000,22884000
HIMACHAL PRADESH,TOTAL,2005,141,102,2,286,29,228,0,788,3250000,3132000,6382000
JAMMU & KASHMIR,TOTAL,2005,201,658,5,830,371,76,0,2141,5678000,5105000,10783000
JHARKHAND,TOTAL,2005,753,283,257,293,36,590,4,2216,14856000,13990000,28846000
KARNATAKA,TOTAL,2005,343,312,261,1585,71,1883,0,4455,28246000,27350000,55596000
KERALA,TOTAL,2005,478,129,21,2339,175,3283,0,6425,16050000,16939000,32989000
MADHYA PRADESH,TOTAL,2005,2921,604,739,6426,792,2989,3,14474,33993000,31209000,65202000
MAHARASHTRA,TOTAL,2005,1545,851,341,3228,919,6233,0,13117,53775000,49444000,103219000
MANIPUR,TOTAL,2005,25,69,0,25,0,20,0,139,1151000,1129000,2280000
MEGHALAYA,TOTAL,2005,63,19,1,44,0,3,0,130,1236000,1204000,2440000
MIZORAM,TOTAL,2005,37,0,4,49,4,0,0,94,482000,452000,934000
NAGALAND,TOTAL,2005,17,9,0,7,0,0,0,33,1100000,993000,2093000
ODISHA,TOTAL,2005,799,547,334,2238,184,1671,0,5773,19496000,18994000,38490000
PUNJAB,TOTAL,2005,398,329,99,308,43,729,0,1906,13764000,11960000,25724000
RAJASTHAN,TOTAL,2005,993,1549,361,2503,28,5997,0,11431,31864000,29272000,61136000
SIKKIM,TOTAL,2005,18,2,0,38,0,4,0,62,303000,266000,569000
TAMIL NADU,TOTAL,2005,571,783,215,1764,665,1650,0,5648,32481000,32142000,64623000
TRIPURA,TOTAL,2005,162,43,34,161,1,439,0,840,1725000,1640000,3365000
UTTAR PRADESH,TOTAL,2005,1217,2256,1564,1835,2881,4505,0,14258,94765000,85060000,179825000
UTTARAKHAND,TOTAL,2005,133,125,63,100,89,272,0,782,4624000,4449000,9073000
WEST BENGAL,TOTAL,2005,1686,1039,446,1572,54,6936,61,11794,43486000,40791000,84277000
A & N ISLANDS,TOTAL,2005,4,1,0,11,1,5,0,22,224000,181000,405000
CHANDIGARH,TOTAL,2005,33,45,3,31,9,75,0,196,600000,450000,1050000
D & N HAVELI,TOTAL,2005,5,9,0,5,0,5,0,24,150000,103000,253000
DAMAN & DIU,TOTAL,2005,2,2,1,1,0,3,0,9,123000,82000,205000
LAKSHADWEEP,TOTAL,2005,0,0,0,0,0,0,0,0,35000,35000,70000
PUDUCHERRY,TOTAL,2005,6,3,4,60,26,6,0,105,527000,529000,1056000
ANDHRA PRADESH,TOTAL,2006,1049,1329,519,4534,2411,9164,0,19006,40677000,40036000,80713000
ARUNACHAL PRADESH,TOTAL,2006,37,51,1,63,2,14,0,168,617000,553000,1170000
ASSAM,TOTAL,2006,1244,1544,105,1290,10,2548,0,6741,14763000,13902000,28665000
BIHAR,TOTAL,2006,1232,1084,1188,530,53,1689,42,5818,47165000,43586000,90751000
CHHATTISGARH,TOTAL,2006,995,178,103,1598,143,717,1,3735,11345000,11249000,22594000
GOA,TOTAL,2006,21,10,0,18,7,14,0,70,776000,716000,1492000
GUJARAT,TOTAL,2006,354,945,50,736,138,4977,0,7200,28760000,26220000,54980000
HARYANA,TOTAL,2006,608,431,255,486,491,2254,0,4525,12568000,10746000,23314000
HIMACHAL PRADESH,TOTAL,2006,113,109,3,275,31,259,0,790,3289000,3166000,6455000
JAMMU & KASHMIR,TOTAL,2006,250,723,10,960,347,135,0,2425,5756000,5185000,10941000
JHARKHAND,TOTAL,2006,799,410,281,414,44,668,5,2621,15088000,14211000,29299000
KARNATAKA,TOTAL,2006,400,328,244,1683,38,2129,0,4822,28573000,27685000,56258000
KERALA,TOTAL,2006,601,202,25,2543,222,3708,0,7301,16191000,17074000,33265000
MADHYA PRADESH,TOTAL,2006,2900,617,764,6243,762,2989,0,14275,34617000,31773000,66390000
MAHARASHTRA,TOTAL,2006,1500,921,387,3479,984,6738,1,14010,54623000,50181000,104804000
MANIPUR,TOTAL,2006,40,79,0,42,0,10,0,171,1165000,1143000,2308000
MEGHALAYA,TOTAL,2006,74,25,6,57,0,13,0,175,1251000,1219000,2470000
MIZORAM,TOTAL,2006,72,1,0,51,0,1,0,125,488000,458000,946000
NAGALAND,TOTAL,2006,23,3,0,3,2,3,0,34,1113000,1006000,2119000
ODISHA,TOTAL,2006,985,577,457,2415,247,694,12,5387,19692000,19196000,38888000
PUNJAB,TOTAL,2006,442,418,130,314,60,801,2,2167,13956000,12104000,26060000
RAJASTHAN,TOTAL,2006,1085,1553,394,2582,31,7038,3,12686,32466000,29811000,62277000
SIKKIM,TOTAL,2006,20,7,0,14,0,6,0,47,307000,269000,576000
TAMIL NADU,TOTAL,2006,457,718,187,1179,852,1248,0,4641,32730000,32405000,65135000
TRIPURA,TOTAL,2006,189,62,35,207,0,471,0,964,1746000,1661000,3407000
UTTAR PRADESH,TOTAL,2006,1314,2551,1798,2096,2714,5204,0,15677,96589000,86693000,183282000
UTTARAKHAND,TOTAL,2006,147,183,80,153,113,358,0,1034,4699000,4520000,9219000
WEST BENGAL,TOTAL,2006,1731,1199,445,1837,63,7414,1,12690,43947000,41268000,85215000
A & N ISLANDS,TOTAL,2006,6,5,0,14,4,7,0,36,231000,188000,419000
CHANDIGARH,TOTAL,2006,19,57,10,20,13,102,0,221,632000,471000,1103000
D & N HAVELI,TOTAL,2006,6,14,1,5,1,5,0,32,157000,109000,266000
DAMAN & DIU,TOTAL,2006,3,1,0,2,0,2,0,8,131000,85000,216000
LAKSHADWEEP,TOTAL,2006,0,0,0,0,0,1,0,1,36000,36000,72000
PUDUCHERRY,TOTAL,2006,9,13,3,56,39,19,0,139,551000,547000,1098000
ANDHRA PRADESH,TOTAL,2007,1070,1564,613,4406,3316,11335,0,22304,41080000,40474000,81554000
ARUNACHAL PRADESH,TOTAL,2007,48,44,0,72,1,20,0,185,624000,560000,1184000
ASSAM,TOTAL,2007,1437,1471,100,789,10,3000,0,6807,14654000,14099000,28753000
BIHAR,TOTAL,2007,1555,1260,1172,853,12,1635,56,6543,47896000,44312000,92208000
CHHATTISGARH,TOTAL,2007,982,181,100,1549,111,824,0,3747,11514000,11419000,22933000
GOA,TOTAL,2007,20,7,2,20,7,14,0,70,802000,737000,1539000
GUJARAT,TOTAL,2007,316,1089,42,822,120,5827,0,8216,29219000,26509000,55728000
HARYANA,TOTAL,2007,488,554,269,417,409,2412,0,4549,12807000,10936000,23743000
HIMACHAL PRADESH,TOTAL,2007,159,150,8,322,33,342,0,1014,3327000,3199000,6526000
JAMMU & KASHMIR,TOTAL,2007,288,707,9,986,353,176,0,2519,5834000,5265000,11099000
JHARKHAND,TOTAL,2007,855,534,303,342,15,801,0,2850,15316000,14429000,29745000
KARNATAKA,TOTAL,2007,436,390,251,1828,28,2507,0,5440,28894000,28015000,56909000
